transactionHash,blockNumber,timestamp,position,transactionFee,coinbase_transfer,mortgage,reward,cost,premium
0x02a1cd405fecd5deffec70f4ccea6bf7f8ea51a28961414947352c2c9b5c4979,14781242,1652635704,2,33708009052480910,0,true,1487601416004733651,1400000000000000000,none
0x7968c7e32ad88437e5ae4df091ae9fdccf957904b761887a0845831e8e6c778e,14941255,1654905428,0,28977672772439556,15342754367362427,true,130685508734724855,100000000000000000,none
0x291cba989c673f1e8cea659009e6c99e51fd12d71c30c5ea4959e24fcf76497e,14877610,1653984268,0,32775132801412890,0,true,194583061771722935,154000000000000000,none
0xabfa54a28742121908ffc27d6e2a42bcdc2fa5d9c78615b38221d7b6797d1422,14839841,1653453477,1,101569112241832018,0,true,11716338864025801673,11500000000000000000,none
0x91f0ab253bb0f6689f23c249d0a949b749e28029f06e2cd42a44c7e0be5c705c,14794803,1652821756,0,36613271554499104,0,true,471139460881616962,350000000000000000,none
0xd18bd089452e90fecb441f7ce3cae5aaf8e7f2989b5bdd31ce6fa565ebd05a7c,14610606,1650304208,6,54433195887547085,13515696067372618,true,687578480336863092,620000000000000000,none
0xb61028482cc574aeeeca5aba7e6e7600696cfb23c95b95594ea422544494220d,14960601,1655192174,20,20202043387074848,0,true,75381421275402551,50000000000000000,none
0x22100f33a30be39f549cc4eecd0d45971f82939797207049800b643a07a5971a,14960651,1655192992,29,42881040748190320,0,true,50390717483682130,690000000000000,none
0x2ac14ab3c6ef3cf479a87eed43be2647d6c4966de810d5cc198ec2721ac97a2d,14867828,1653846349,200,16178677457264128,7202645391634721,true,252470201566654201,216456974608480593,none
0xd0fd1eae0fc8dcf31b51745149cb9c7bc03e012888aceb8ce7ff7f62ad1107d0,14667619,1651077275,2,52434204000000000,0,true,12298661733503086,3800000000000000,none
0x54d84a4fc0d8a01b4b996d72a6966b21b040e80d2b9a5ecdf4547c0e837cc71c,14016869,1642340578,0,57725163042820092,500000000000000000,true,12348786549486928248,4450000000000000000,none
0xdbfc26af4d35d73df1b667f4ee2df4ca81ca4b7ca091df8e8bda27b97c518510,14874546,1653940686,13,19543120847903380,0,true,201861588991973637,180000000000000000,none
0xb1a6ad346709e9c82e036e8564069ed9d42fcf2741f78c53998e0f7ab2b796cc,14874735,1653943460,22,25110733088790240,0,true,226364276131197304,200000000000000000,none
0x4899df45cba0b6563ab36ba7908ae47d3b91ea346eea81821d9cc786e6990892,14952281,1655068162,37,17612008804590266,0,true,224286002527356850,200000000000000000,none
0x39988f24b02539769527dae4cd9974f2ba6f6e35675f06799351d6640eede8b3,14951853,1655061359,21,11073557361050596,0,true,34155503018662443,20000000000000000,none
