transactionHash,blockNumber,timestamp,position,transactionFee,coinbase_transfer,reward
0x6edcf44a65e62a56eabe9023d0f6ca633770fdabbb1c20709a1ac962d2a810ce,14539520,1649345064,0,81507141394559881,128061594906157500,-3850000000000000000
0x1ad4e03fc3df5fe2596bb4c2f03a8d61fdf0de512a3c99232caa3b5edd02b49f,14539559,1649345875,0,96723395368413540,789696175744789500,-4200000000000000000
0x06bf6538137185512b0492e9c980ff817b97ab90ab623f34ee70bf488b289746,14272107,1645749113,4,24699260364794520,1180000000000000,106000000000000000
0xd15db0a852780d04a92b4630f103422ccbdddb1ba598f4fa37f9e7e214711aa2,14355042,1646861757,0,43679832133183820,0,1270000000000000000
0xd403e5419208fd8928e133ad269b8f47025f271d7da3a1eed9e6d31bba0ae9fd,14380424,1647203281,1,30852396376199552,0,55000000000000000
0x075692b7237bb58877ae2da05425eafe39578e8a06c3c5bafc303d4f53206ca5,14605079,1650229575,1,12956447185149552,62408119236983100,113660000000000000
0x67251be7d2a54e79ab224706c6c5f4faeceb0c374fa6daa17fff4496c45ebc8d,14548955,1649472769,0,93485132907457570,0,369600000000000000
0xa67ca65b1c37b4f21942c67ceaaa9e5b5666b889308325e04fc9bc9593a8548a,14699240,1651506757,0,30025176892329628,1196174111274230400,1882800000000000000
0x91dc8303505bb0cdaf0e3455b492879d83e20029ec45a79cc69ff197a6a4003d,14556475,1649574021,0,88584943134750660,0,309800000000000000
0x798329c8c517a3a8d7d777c33a62172c89dee8c0440307dc22f885b15ba7fe80,14460469,1648278926,6,34167292879262072,0,388910000000000000
0x49ddbb4fdb44355640ad7d7bfab18a45f227aafa2071e0dc596bab25d4921f77,14922519,1654629409,2,51726269313837936,21609043867350000,85400000000000000
0xd889ee7e903017872a0876b83fee6c5c722214aaf3c42b3d434225969586b9c0,14230958,1645198997,4,66615988350121320,0,483000000000000000
0xbc9e341a8924f585a9129a27291a94a9a1a2b02c95b98554929634b7d30082b4,14636234,1650651472,3,115833041658313152,0,243600000000000000
0xc00b31df69b51f112cc467ff16ef3447cef863df2f14962e9950c2271664836e,14965927,1655272086,11,10921020338986485,6825000000000000,26250000000000000
0x327bf592c46da59036b5a542b5712c484ad0a5b8ca0e70888b66ac4b3f7e81ff,14496448,1648763307,0,19417531996348650,40199021711853000,407100000000000000
0x6e3b39c193ce4896caa2f3f73f7afb3175994097fee7deb4f11e28d65a9950df,14496662,1648766285,0,24757486073375156,14800521379027444,354700000000000000
0x74d8f9b82408d5748901e188eb2fb8958df9203e0ccce8687c1147aacd8f85ec,14280920,1645868148,2,12542289402175520,1146000000000000,226200000000000000
0x9735ecb91f2cef3d5229f43b65fe793c67f44f55162923e6b9fe77ed6cc86c8a,14372289,1647092795,0,37341217528843935,0,259580000000000000
0x329649487c5d39605a1bfe386650065f0e42e28319a9400a6dd6c069d5bb0801,14213531,1644965526,1,42123853394258625,0,490500000000000000
0xe88173cc52e0dbbd2e11d72085ac5365862a3fe67fba7e2bbfa59dec88e79a46,14646698,1650792716,0,9684558338942725,35711369143324100,67600000000000000
0x19d88b12a63e30b259030ed391339b09e4bee1c5c5f03358ca3281896fad4d0d,14810649,1653043575,1,6518697938861031,395915077777636977,576000000000000000
0x864335af21753668c8b02312d64df478c15e0e5be3f408b1986d8f3a6f7ccccf,14664664,1651037663,1,13477644128911475,19050211376246544,50900000000000000
0x9818955aac1d8a41830998cc5b1ee71f70b2468087e930cb809f6c8dfed15071,14664666,1651037673,0,9405392317540212,18381636462289130,48600000000000000
0x8b68b2b867b9f3fc8562fedb766dca9222e268f9a0f8de44877d33de89ca0ab1,14662525,1651009053,111,18033259190956320,24009163101020097483,32555000000000000000
0x0c6d4a2431e12bc716d9837bb7149682c87c7faf7c0067ba4d90db1780e67bf5,14395572,1647406435,0,139525400000000000,0,9030200000000000000
0x882b96fdd1d7e6bc890ae894a477fe492c84424d64a495d5bc0ce05ec888fc15,14607904,1650267632,0,7127063077040802,468935561783253600,753500000000000000
0x70af2b464fbdb9213c648290f72fddf2dc78c88515deea7d055ec1e6270702cb,14940140,1654888865,1,15644862361551120,14000422400000000,43751320000000000
0x2e4feec9a8c689af66f65bc9ccaf09cd4e0a126d19af3d15a4d94606dd0db131,14916072,1654535233,0,21033393250397782,21546084385722600,46980000000000000
0xc78919d5c24f197b0ac94bea5bf5d88ef1e39cc5ac6567db860bfad6e44e521f,14291297,1646005611,12,22943242250031978,0,146600000000000000
0x189b303d677e50dd3c733c079f949bad9a64a9c3e5fb991a626505ce3a2bd26b,14728656,1651911229,0,9336577008200288,639551735240480148,1002000000000000000
0xd9ab7aa2de8f4b75c817804507013259dc2a680be18f439dfbf7a1513ae0a89f,14195354,1644723417,2,17913652602979868,0,288000000000000000
0xeafc2245a43fa5050e7ec7cfa87073713cb7f8b9dd32eca78d57415a49b765e6,14540190,1649354057,0,20914992095402625,33681893089212780,194900900000000000
0x8585e6029714220f06236e2c3c555cba1c60dfcac213c34fe85cb10119ebaca1,14932126,1654770760,74,18199016557955700,2295000000000000,25500000000000000
0x84685b06111de7b7852772f05781de3ae52b334683fb52f666a0f5b4d8ac0828,14932234,1654772588,2,18505495806413812,20130151849543912,38000000000000000
0x83f2fecf9336ad5d348f30f087757a1664bc270f9c29f990d2988c7bd4096592,14832312,1653347010,0,13186389928466651,0,19364000000000000
0x492fd735caee1dd5b0484ba803504b340df5017e3adaf4d65e9c043e0076e836,14396160,1647414404,2,17185977118560600,0,150206000000000000
0x626afb51024ae590da196fe4ab8c228949f51d2e5ce9dd2eba085adbcef021fa,14713942,1651708340,6,17059911866997848,57600000000000000,210000000000000000
0x2a35edd34fe571c9d39eb470b4c50f29e5ea0583a64e59d62bb65189f77e63e1,14713998,1651709435,1,20914940787523290,0,26709000000000000
0xc3d3b393ba1238e0c2289dbc1c6d73cf826da4b4201cc9d40495f4631e702d7a,14613325,1650340774,0,11141399543127392,11929673796028000,33000098000000000
0x679919069df387b3145e1acdffe86e1a5657b8c8eeeb8c4011eaceba37c88357,14613424,1650341961,0,8600574756386250,187902502917233600,335000000000000000
0xaab53aefc7ebca14b46c579487509f1a4bb967cc19a5bc50e06e55e52871d95b,14513040,1648987597,0,106613186465483355,0,561300000000000000
0x901fbe6c891c1281859d08ac2a68889b75a6c6f0910bcbb949429e228d230976,14366670,1647017117,4,9744207205187860,13577031251443526,174400000000000000
0xa679c00a56453a0767f9550fea9950ce73e3eef7e0941f7297c5cecbb5848d9e,14898411,1654277755,8,25423762661395771,7144000000000000,37600000000000000
0x7163e17dc71469ce0548af54adc875cf9e57e47430f80161363a99757cd43ac6,14191778,1644675689,3,23780901894621144,6230283671440802,93519400000000000
0x1294a52d66e2960b6bb459385044c8c700f56ba397e0ec37ec6c856668760c53,14397341,1647430606,1,44007192790004649,0,399650093000000000
0xea97b6f3a01baf65a33e11fecca193516b5e12d41d560983f65b72a8068b8f2d,14397939,1647438299,1,125092450000000000,0,3038600000000000000
0xa40fd49b75c0bef8ebd595bc5b5358dfc4d058495004dc5136cd64bff6ae14b9,14745177,1652138258,0,21219718576466836,87533129547573580,160000000000000000
0xf50e52940b5d6d607ca0313f61fd179a916f5ed6bfd568897c23fb38a2241cb2,14933464,1654790401,0,18878357312864946,17440970530810608,41543000000000001
0x5544e51620aa8297938a1bcebf163407274c55fa91d5efc9d85538158f575a5e,14915587,1654527974,0,25838386440125025,218866007625741436,247750000000000000
0x65cda191b6c88015da3231adb149bdf03edf658cbc3b7272026bb3d37f754261,14816725,1653129164,11,61200187352065866,0,113250000000000000
0xc054b9ce30332bea909198eb5e86f76f2fc38be28294cc687c1fcacdaf9214a6,14850644,1653605832,0,18695286075566394,28049836445840976,57750000000000000
0xb2008723799e13064ca1de3aa6c03ed13996eadb5524ebf5863b28ed95976eff,14913123,1654491591,0,8836492914386904,123563681624747169,190000000000000000
